NO_OF_FRAMES	558
NO_OF_CAMERAS	11
NO_OF_MARKERS	34
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-30, 09:50:46.772	1691.57365920
DATA_INCLUDED	3D
MARKER_NAMES	HR	HL	C7	MS	PX	AR	AL	T7	ELR	EMR	ELL	EML	PMR	PLR	DMR	DLR	PLL	PML	DML	DLL	SIPSR	SIPSL	SIASL	SIASR	CLR	CMR	CML	CLL	MLR	MMR	FAR	MML	MLL	FAL
HR X	HR Y	HR Z	HL X	HL Y	HL Z	C7 X	C7 Y	C7 Z	MS X	MS Y	MS Z	PX X	PX Y	PX Z	AR X	AR Y	AR Z	AL X	AL Y	AL Z	T7 X	T7 Y	T7 Z	ELR X	ELR Y	ELR Z	EMR X	EMR Y	EMR Z	ELL X	ELL Y	ELL Z	EML X	EML Y	EML Z	PMR X	PMR Y	PMR Z	PLR X	PLR Y	PLR Z	DMR X	DMR Y	DMR Z	DLR X	DLR Y	DLR Z	PLL X	PLL Y	PLL Z	PML X	PML Y	PML Z	DML X	DML Y	DML Z	DLL X	DLL Y	DLL Z	SIPSR X	SIPSR Y	SIPSR Z	SIPSL X	SIPSL Y	SIPSL Z	SIASL X	SIASL Y	SIASL Z	SIASR X	SIASR Y	SIASR Z	CLR X	CLR Y	CLR Z	CMR X	CMR Y	CMR Z	CML X	CML Y	CML Z	CLL X	CLL Y	CLL Z	MLR X	MLR Y	MLR Z	MMR X	MMR Y	MMR Z	FAR X	FAR Y	FAR Z	MML X	MML Y	MML Z	MLL X	MLL Y	MLL Z	FAL X	FAL Y	FAL Z	
1217.366	444.144	2742.229	1394.684	666.998	2763.034	1153.262	776.264	2519.829	1175.767	536.747	2416.828	1175.240	438.914	2219.187	861.913	661.378	2486.999	1450.884	686.042	2477.505	1156.151	828.756	2219.955	670.180	368.535	2039.358	751.987	444.324	1934.773	1647.398	554.760	1968.628	0.000	0.000	0.000	1045.649	233.894	2203.844	1033.604	164.074	2182.265	1137.157	188.431	2290.514	1133.444	91.524	2209.046	1417.507	263.946	2143.388	1401.025	231.392	2094.214	1353.738	135.879	2133.768	1391.790	185.786	2216.677	1125.126	751.403	1771.522	1262.840	751.417	1774.124	1400.316	449.673	1713.179	989.592	465.177	1705.555	993.344	501.093	905.869	1212.958	535.455	870.120	1237.900	450.575	934.055	1447.714	420.472	891.138	992.644	755.733	136.862	1152.177	747.076	154.505	1091.353	479.984	28.953	1338.365	383.012	147.744	1490.426	384.481	153.622	1306.477	104.803	54.660
1216.211	444.861	2741.871	1394.248	667.152	2763.009	1152.776	777.497	2519.604	1174.743	537.643	2416.651	1173.899	439.707	2219.109	860.970	663.288	2486.868	1450.122	686.214	2477.251	1156.072	829.809	2219.118	668.628	370.342	2039.831	750.211	446.208	1934.926	1646.212	554.344	1968.304	0.000	0.000	0.000	1043.813	234.435	2203.936	1032.149	164.673	2182.270	1135.233	188.752	2290.423	1131.546	92.131	2209.186	1417.825	262.674	2143.722	1402.535	229.073	2094.917	1352.091	135.943	2134.042	1390.173	185.814	2216.872	1124.282	751.935	1771.446	1262.032	751.747	1773.978	1399.333	449.579	1713.184	988.422	465.819	1705.603	992.743	501.105	905.839	1212.158	535.399	870.183	1238.023	451.080	933.674	1447.023	420.483	891.115	992.498	755.778	136.762	1151.771	746.870	154.191	1091.301	480.081	28.961	1338.055	383.099	147.590	1490.222	384.491	153.586	1306.449	104.773	54.361
1214.888	445.661	2741.592	1393.659	667.434	2762.699	1152.253	778.636	2519.563	1173.421	538.731	2416.622	1172.484	440.547	2219.228	860.056	665.208	2486.751	1449.371	686.449	2477.055	1155.102	831.106	2218.864	667.211	371.867	2040.348	743.217	451.273	1934.333	1644.776	554.025	1967.974	0.000	0.000	0.000	1041.756	235.264	2204.155	1030.218	165.408	2182.058	1133.506	189.190	2290.364	1129.842	92.375	2209.081	1416.113	262.876	2143.752	1401.092	228.969	2095.095	1350.421	135.833	2134.425	1388.573	185.825	2217.079	1123.457	752.381	1771.248	1261.100	751.960	1773.682	1397.906	449.732	1713.053	987.256	466.318	1705.694	992.139	501.236	905.779	1211.343	535.548	870.017	1237.075	451.016	933.789	1446.319	420.351	891.111	992.237	755.785	136.596	1152.022	747.489	154.648	1091.320	480.139	28.903	1338.118	383.237	147.223	1490.105	384.352	153.697	1306.271	104.802	53.973
1213.532	446.579	2741.204	1392.697	668.151	2762.126	1151.312	779.693	2519.226	1172.047	539.896	2416.437	1171.051	441.565	2219.229	859.413	667.104	2486.649	1448.706	686.764	2476.755	1154.422	832.235	2218.861	666.010	373.430	2040.619	741.645	452.920	1934.536	1643.426	553.582	1967.687	0.000	0.000	0.000	1039.974	235.918	2203.931	1027.983	166.320	2182.632	1131.548	189.586	2290.773	1127.726	92.767	2209.046	1415.758	262.020	2144.083	1399.600	228.866	2095.183	1348.563	136.034	2134.640	1386.942	185.867	2217.163	1122.576	752.858	1771.052	1260.295	752.296	1773.435	1396.347	449.980	1712.971	986.065	466.967	1705.835	991.341	501.433	905.779	1210.883	535.854	870.258	1236.520	451.139	933.577	1445.597	420.244	891.047	992.292	755.794	136.514	1151.725	747.461	154.559	1090.774	480.578	28.891	1337.415	383.213	147.148	1489.785	384.406	153.641	1306.021	104.951	53.432
1212.168	447.540	2740.915	1391.848	668.613	2761.658	1150.809	780.811	2519.103	1170.882	540.907	2416.336	1169.321	442.643	2219.155	858.505	669.131	2486.739	1447.784	687.117	2476.578	1154.060	833.550	2218.414	664.606	375.168	2040.946	740.295	454.460	1934.726	1642.175	553.094	1967.425	0.000	0.000	0.000	1038.500	236.675	2204.188	1025.919	167.213	2182.786	1129.787	190.222	2290.812	1125.747	93.301	2209.174	1413.865	262.204	2144.057	1397.852	228.699	2095.269	1346.840	135.982	2135.024	1385.263	185.911	2217.309	1121.767	753.331	1770.730	1259.475	752.556	1773.148	1395.364	449.854	1713.005	984.924	467.515	1705.968	990.284	501.765	906.018	1210.469	536.439	870.534	1235.766	451.190	933.611	1444.879	420.113	891.053	992.049	755.853	136.547	1151.503	747.406	154.564	1091.356	480.293	28.928	1337.431	383.150	146.987	1489.595	384.278	153.647	1306.048	104.913	52.911
1210.924	448.370	2740.523	1391.052	669.077	2761.405	1150.454	781.991	2518.922	1169.812	541.799	2416.218	1167.731	443.687	2219.039	857.559	671.141	2486.462	1446.962	687.365	2476.280	1153.300	834.892	2218.049	662.699	377.287	2041.387	739.192	455.891	1934.860	1640.788	552.564	1967.041	0.000	0.000	0.000	1036.640	237.490	2204.586	1023.951	167.980	2182.830	1127.938	190.894	2290.947	1123.523	93.963	2209.245	1410.703	263.359	2143.578	1396.271	228.678	2095.601	1344.825	136.162	2135.171	1383.383	186.085	2217.522	1120.884	753.857	1770.573	1258.505	752.805	1772.771	1394.185	449.890	1712.936	983.687	468.070	1706.061	989.644	501.828	905.890	1209.507	536.307	870.348	1234.212	450.982	933.838	1444.261	419.958	890.988	991.859	756.014	136.419	1151.427	747.657	154.642	1091.314	480.323	28.951	1337.082	383.179	146.971	1489.307	384.157	153.693	1305.965	104.940	52.422
1209.676	449.125	2740.430	1390.311	669.485	2761.137	1149.371	782.905	2518.606	1168.600	542.933	2416.040	1166.200	444.655	2219.082	856.600	673.212	2486.245	1446.205	687.526	2475.846	1153.367	835.474	2217.933	661.316	378.911	2041.844	737.876	457.387	1935.064	1639.316	552.192	1966.731	0.000	0.000	0.000	1035.392	238.577	2204.419	1022.508	168.706	2182.699	1125.753	191.566	2290.841	1121.193	94.930	2209.535	1407.613	264.304	2143.455	1391.241	230.933	2095.097	1342.959	136.077	2135.550	1381.510	186.235	2217.788	1120.039	754.350	1770.374	1257.604	752.962	1772.433	1392.911	449.814	1712.995	982.358	468.784	1706.092	988.707	502.058	905.824	1208.551	536.121	870.202	1232.972	450.790	934.112	1443.488	419.864	891.035	991.684	755.932	136.446	1151.351	747.694	154.759	1091.401	480.385	28.820	1336.615	383.309	146.592	1489.018	384.081	153.685	1305.908	104.919	51.840
1208.340	449.976	2739.972	1389.650	669.798	2760.736	1148.627	783.815	2518.266	1167.365	544.096	2415.829	1164.726	445.544	2219.004	855.881	675.239	2486.032	1445.291	687.848	2475.654	1153.013	836.277	2217.830	659.975	380.719	2042.070	742.046	455.421	1936.105	1637.918	551.653	1966.327	0.000	0.000	0.000	1033.300	239.459	2204.457	1020.447	169.650	2183.038	1123.633	192.383	2290.731	1119.459	95.391	2209.487	1405.891	264.365	2143.522	1389.363	230.863	2095.415	1341.089	136.183	2135.886	1379.707	186.386	2217.840	1119.351	755.124	1769.985	1256.873	753.268	1772.315	1391.728	449.703	1713.328	980.758	469.687	1706.072	988.236	502.004	905.771	1208.422	537.038	870.708	1232.732	450.965	933.842	1442.692	419.678	890.979	991.352	756.026	136.411	1150.976	747.359	154.419	1091.586	480.295	28.862	1336.250	383.240	146.471	1488.726	383.904	153.822	1305.955	104.889	51.025
1206.965	450.967	2739.527	1388.897	670.121	2760.490	1147.946	785.112	2518.085	1165.913	545.279	2415.627	1162.935	446.570	2218.727	855.029	677.428	2485.903	1444.501	688.148	2475.400	1152.565	837.408	2217.540	658.285	382.728	2042.100	740.642	456.878	1936.278	1636.455	551.088	1965.986	0.000	0.000	0.000	1031.447	240.543	2204.502	1018.206	170.877	2183.716	1121.562	192.757	2290.812	1117.455	96.037	2209.523	1404.064	264.306	2143.563	1387.406	230.865	2095.608	1339.011	136.184	2136.130	1377.855	186.431	2218.035	1118.580	755.563	1769.802	1256.107	753.563	1772.069	1390.453	449.645	1713.423	979.639	470.321	1706.127	987.461	502.116	905.718	1207.270	536.688	870.367	1231.403	450.689	933.740	1441.790	419.426	890.888	991.322	755.709	135.576	1150.981	747.773	154.821	1091.393	480.465	28.839	1336.077	383.132	146.285	1488.346	383.816	153.784	1305.685	104.994	50.262
1205.381	452.033	2739.266	1388.018	670.482	2760.077	1147.162	786.251	2518.011	1164.590	546.592	2415.465	1161.296	447.671	2218.585	853.903	679.625	2485.496	1443.622	688.440	2475.085	1153.064	838.422	2216.801	656.225	384.785	2042.836	739.241	458.557	1936.360	1635.052	550.662	1965.659	0.000	0.000	0.000	1029.743	241.428	2204.737	1016.098	171.895	2183.849	1116.715	191.961	2291.627	1115.026	96.911	2209.903	1402.194	264.242	2143.546	1385.471	230.868	2095.648	1336.791	136.391	2136.250	1376.100	186.500	2218.178	1117.900	756.150	1769.645	1255.324	753.739	1771.833	1389.312	449.510	1713.425	978.406	471.114	1706.211	986.919	502.113	905.704	1206.389	536.646	870.301	1230.071	450.435	933.788	1440.919	419.068	890.789	991.073	755.864	135.532	1150.755	747.846	154.771	1091.397	480.558	28.821	1335.730	383.080	146.112	1487.936	383.668	153.809	1305.473	104.917	49.498
